"Rango","Paese","Continente","Stima","Data"
"—","Terra","Asia, America, Africa, Europa, Oceania","8,024,999,415+","31/03/2023"
"1","Cina","Asia","1.454.670.934","31/03/2023"
"2","India","Asia","1.418.071.492","31/03/2023"
"3","Stati Uniti","America","336.390.315","31/03/2023"
"4","Indonesia","Asia-Oceania","281.654.964","31/03/2023"
"5","Pakistan","Asia","233.243.729","31/03/2023"
"6","Nigeria","Africa","221.072.668","31/03/2023"
"7","Brasile","America","216.767.915","31/03/2023"
"8","Bangladesh","Asia","169.294.548","31/03/2023"
"9","Russia","Europa-Asia","146.105.680","31/03/2023"
"10","Messico","America","132.740.378","31/03/2023"
"11","Giappone","Asia","125.426.785","31/03/2023"
"12","Etiopia","Africa","120.788.173","10/06/2022"
"13","Filippine","Asia","112.486.101","10/06/2022"
"14","Egitto","Africa-Asia","106.228.202","10/06/2022"
"15","Vietnam","Asia","99.622.073","26/12/2022"
"16","RD del Congo","Africa","95.205.878","10/06/2022"
"17","Turchia","Europa-Asia","86.136.138","10/06/2022"
"18","Iran","Asia","86.131.847","10/06/2022"
"19","Germania","Europa","84.305.448","10/06/2022"
"20","Thailandia","Asia","70.140.396","10/06/2022"
"21","Regno Unito","Europa","68.583.427","10/06/2022"
"22","Francia","Europa","65.554.051","10/06/2022"
"23","Tanzania","Africa","63.245.243","10/06/2022"
"24","Sudafrica","Africa","60.795.769","10/06/2022"
"25","Italia","Europa","60.210.211","10/05/2023"
"26","Kenya","Africa","56.178.526","10/06/2022"
"27","Birmania","Asia","55.125.507","10/06/2022"
"28","Colombia","America","51.956.665","10/06/2022"
"29","Corea del Sud","Asia","51.354.626","10/06/2022"
"30","Uganda","Africa","48.744.182","10/06/2022"
"31","Spagna","Europa","46.789.810","10/06/2022"
"32","Argentina","America","46.076.915","03/08/2022"
"33","Sudan","Africa","45.936.533","10/06/2022"
"34","Algeria","Africa","45.445.640","10/06/2022"
"35","Ucraina","Europa","43.073.720","31/12/2022"
"36","Iraq","Asia","42.058.736","10/06/2022"
"37","Afghanistan","Asia","40.712.303","10/06/2022"
"38","Canada","America","38.394.354","10/06/2022"
"39","Marocco","Africa","37.799.089","10/06/2022"
"40","Polonia","Europa","37.767.697","10/06/2022"
"41","Arabia Saudita","Asia","35.899.478","10/06/2022"
"42","Uzbekistan","Asia","34.438.040","10/06/2022"
"43","Malaysia","Asia","33.191.122","10/06/2022"
"44","Perù","America","32.625.948","7/2020"
"45","Angola","Africa","31.127.674","6/2020"
"46","Ghana","Africa","30.267.351","2021"
"47","Mozambico","Africa","30.066.648","7/2020"
"48","Nepal","Asia","29.996.478","7/2020"
"49","Yemen","Asia","29.825.968","7/2020"
"50","Venezuela","America","28.435.943","7/2020"
"51","Costa d'Avorio","Africa","26.453.542","7/2020"
"52","Madagascar","Africa","26.251.309","7/2020"
"53","Australia","Oceania","25.750.198","7/2021"
"54","Corea del Nord","Asia","25.550.000","7/2020"
"55","Camerun","Africa","24.348.251","7/2019"
"56","Taiwan","Asia","23.566.471","10/2020"
"57","Niger","Africa","23.196.002","7/2020"
"58","Sri Lanka","Asia","21.803.000","7/2019"
"59","Burkina Faso","Africa","21.510.181","7/2020"
"60","Mali","Africa","20.250.833","7/2020"
"61","Cile","America","20.158.310","6/2020"
"62","Romania","Europa","19.917.984","1/2020"
"63","Kazakistan","Europa-Asia","19.724.856","12/2020"
"64","Malawi","Africa","18.449.828","7/2020"
"65","Zambia","Africa","17.885.422","7/2020"
"66","Ecuador","America","17.625.048","12/2020"
"67","Paesi Bassi","Europa","17.538.181","12/2020"
"68","Siria","Asia","17.500.657","7/2020"
"69","Guatemala","America","16.858.333","7/2020"
"70","Senegal","Africa","16.705.608","7/2020"
"71","Ciad","Africa","16.244.513","7/2020"
"72","Somalia","Africa","15.993.209","7/2020"
"73","Zimbabwe","Africa","15.473.818","7/2020"
"74","Cambogia","Asia","15.288.489","3/2019"
"75","Sudan del Sud","Africa","13.249.924","7/2020"
"76","Ruanda","Africa","12.663.116","7/2020"
"77","Guinea","Africa","12.559.623","7/2020"
"78","Burundi","Africa","12.309.600","7/2020"
"79","Benin","Africa","12.114.193","7/2020"
"80","Haiti","America","11.743.017","7/2020"
"81","Tunisia","Africa","11.708.370","1/2020"
"82","Bolivia","America","11.633.371","7/2020"
"83","Belgio","Europa","11.550.039","10/2020"
"84","Cuba","America","11.193.470","12/2019"
"85","Giordania","Asia","10.829.672","12/2020"
"86","Grecia","Europa","10.724.599","1/2019"
"87","Rep. Ceca","Europa","10.699.142","6/2020"
"88","Rep. Dominicana","America","10.448.499","7/2020"
"89","Svezia","Europa","10.373.225","9/2020"
"90","Portogallo","Europa","10.295.909","12/2019"
"91","Azerbaigian","Asia - Europa","10.095.900","7/2020"
"92","Ungheria","Europa","9.769.526","1/2020"
"93","Bielorussia","Europa","9.408.400","1/2020"
"94","Emirati Arabi Uniti","Asia","9.366.829","7/2018"
"95","Tagikistan","Asia","9.313.800","1/2020"
"96","Honduras","America","9.304.380","7/2020"
"97","Israele","Asia","9.190.200","12/2020"
"98","Austria","Europa","8.935.112","10/2020"
"99","Papua Nuova Guinea","Oceania","8.935.000","7/2020"
"100","Svizzera","Europa","8.632.703","6/2020"
"101","Sierra Leone","Africa","8.100.318","7/2020"
"102","Togo","Africa","7.706.000","7/2020"
"103","Hong Kong","Asia","7.609.200","6/2020"
"104","Paraguay","America","7.252.672","7/2020"
"105","Laos","Asia","7.231.210","7/2020"
"106","Bulgaria","Europa","6.951.482","12/2019"
"107","Serbia","Europa","6.926.705","1/2020"
"108","Libia","Africa","6.871.287","7/2020"
"109","Libano","Asia","6.825.442","7/2020"
"110","El Salvador","America","6.819.956","7/2020"
"111","Kirghizistan","Asia","6.608.500","10/2020"
"112","Nicaragua","America","6.527.691","6/2019"
"113","Turkmenistan","Asia","6.431.187","7/2020"
"114","Danimarca","Europa","5.837.213","10/2020"
"115","Singapore","Asia","5.685.807","6/2020"
"116","Rep. Centrafricana","Africa","5.633.412","7/2020"
"117","Rep. del Congo","Africa","5.518.092","7/2020"
"118","Finlandia","Europa","5.504.522","10/2020"
"119","Slovacchia","Europa","5.460.136","6/2020"
"120","Norvegia","Europa","5.384.576","9/2020"
"121","Costa Rica","America","5.111.238","6/2020"
"122","Palestina","Asia","5.101.152","7/2020"
"123","Nuova Zelanda","Oceania","5.106.922","12/2020"
"124","Irlanda","Europa","4.977.400","4/2020"
"125","Liberia","Africa","4.568.298","7/2020"
"126","Kuwait","Asia","4.464.521","1/2020"
"127","Oman","Asia","4.445.262","9/2020"
"128","Panama","America","4.278.500","7/2020"
"129","Mauritania","Africa","4.173.077","7/2020"
"130","Croazia","Europa","4.058.165","12/2019"
"131","Georgia","Asia o Europa-Asia","3.716.858","1/2020"
"132","Eritrea","Africa","3.546.000","7/2020"
"133","Uruguay","America","3.530.912","1/2020"
"134","Mongolia","Asia","3.451.402","12/2020"
"135","Bosnia ed Erzegovina","Europa","3.332.593","7/2019"
"136","Porto Rico (Stati Uniti)","America","3.193.694","7/2019"
"137","Armenia","Asia","2.967.900","9/2020"
"138","Albania","Europa","2.845.955","1/2020"
"139","Lituania","Europa","2.794.870","11/2020"
"140","Giamaica","America","2.734.093","12/2019"
"141","Qatar","Asia","2.717.360","10/2020"
"142","Moldavia","Europa","2.640.438","1/2020"
"143","Namibia","Africa","2.504.498","7/2020"
"144","Botswana","Africa","2.374.698","7/2020"
"145","Gambia","Africa","2.335.504","7/2018"
"146","Gabon","Africa","2.176.766","7/2020"
"147","Slovenia","Europa","2.111.461","2/2021"
"148","Macedonia del Nord","Europa","2.076.255","12/2019"
"149","Lesotho","Africa","2.007.201","4/2016"
"150","Lettonia","Europa","1.897.100","10/2020"
"151","Kosovo","Europa","1.782.115","12/2019"
"152","Guinea-Bissau","Africa","1.624.945","7/2020"
"153","Bahrein","Asia","1.503.091","7/2018"
